datetime,portfolio_value
2025-03-18 11:05:00-04:00,20614.990985579134
2025-03-18 11:10:00-04:00,20619.410250783134
2025-03-18 11:15:00-04:00,20609.991593360468
2025-03-18 11:20:00-04:00,20591.270795678014
2025-03-18 11:25:00-04:00,20596.795579760746
2025-03-18 11:30:00-04:00,20597.24149814531
2025-03-18 11:35:00-04:00,20611.47261551933
2025-03-18 11:40:00-04:00,20606.477368711283
2025-03-18 11:45:00-04:00,20591.238443887243
2025-03-18 11:50:00-04:00,20578.956748674304
2025-03-18 11:55:00-04:00,20577.95040022723
2025-03-18 12:00:00-04:00,20589.417325679464
2025-03-18 12:05:00-04:00,20587.297285544108
2025-03-18 12:10:00-04:00,20608.942049900554
2025-03-18 12:15:00-04:00,20590.14851243562
2025-03-18 12:20:00-04:00,20599.826312952657
2025-03-18 12:25:00-04:00,20623.01692303528
2025-03-18 12:30:00-04:00,20611.751368292524
2025-03-18 12:35:00-04:00,20604.916243037336
2025-03-18 12:40:00-04:00,20576.188467278345
2025-03-18 12:45:00-04:00,20570.887922760012
2025-03-18 12:50:00-04:00,20571.50102234081
2025-03-18 12:55:00-04:00,20584.778280941635
2025-03-18 13:00:00-04:00,20589.473750799174
2025-03-18 13:05:00-04:00,20571.052147607632
2025-03-18 13:10:00-04:00,20591.79397762785
2025-03-18 13:15:00-04:00,20570.796194569968
2025-03-18 13:20:00-04:00,20602.231303659857
2025-03-18 13:25:00-04:00,20604.95986094335
2025-03-18 13:30:00-04:00,20622.521832010865
2025-03-18 13:35:00-04:00,20636.877556682688
2025-03-18 13:40:00-04:00,20633.578202151002
2025-03-18 13:45:00-04:00,20638.582308821806
2025-03-18 13:50:00-04:00,20639.322602903052
2025-03-18 13:55:00-04:00,20627.817640602803
2025-03-18 14:00:00-04:00,20613.72812192208
2025-03-18 14:05:00-04:00,20624.82740805985
2025-03-18 14:10:00-04:00,20614.52341729016
2025-03-18 14:15:00-04:00,20632.810345907732
2025-03-18 14:20:00-04:00,20649.202521263258
2025-03-18 14:25:00-04:00,20627.320987083276
2025-03-18 14:30:00-04:00,20636.234375925014
2025-03-18 14:35:00-04:00,20650.162665375283
2025-03-18 14:40:00-04:00,20635.939338832373
2025-03-18 14:45:00-04:00,20652.332036178006
2025-03-18 14:50:00-04:00,20651.32547286264
2025-03-18 14:55:00-04:00,20644.746622083
2025-03-18 15:00:00-04:00,20633.65643060912
2025-03-18 15:05:00-04:00,20632.37930197677
2025-03-18 15:10:00-04:00,20642.908687873412
2025-03-18 15:15:00-04:00,20654.583242489833
2025-03-18 15:20:00-04:00,20661.49593753237
2025-03-18 15:25:00-04:00,20655.04399684108
2025-03-18 15:30:00-04:00,20655.855371082067
2025-03-18 15:35:00-04:00,20652.125775313496
2025-03-18 15:40:00-04:00,20647.776300554793
2025-03-18 15:45:00-04:00,20631.126484088414
2025-03-18 15:50:00-04:00,20652.1159639417
2025-03-18 15:55:00-04:00,20642.09139697348
2025-03-19 09:30:00-04:00,20719.434644360783
2025-03-19 09:35:00-04:00,20728.28676810894
2025-03-19 09:40:00-04:00,20711.615338463613
2025-03-19 09:45:00-04:00,20740.04852831655
